Campaign name,Day,Ad Group,Ad,utm_campaign,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Result value type,Results ROAS,Website purchase ROAS (return on advertising spend),Reporting starts,Reporting ends
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-26,Broad + adv no target,v5,,,ad,440,501,1.14,,,,23.09,,,,26,0.89,46.09,5.19,,,,45714,45714
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-27,Broad + adv no target,v5,,,ad,371,462,1.25,,Website purchases,1,17.95,17.95,,,17,1.06,38.85,3.68,Website purchases conversion value,1.45,1.45,45715,45715
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-02-28,Broad + adv no target,v5,,,ad,411,504,1.23,,,,17.84,,,,19,0.94,35.4,3.77,,,,45716,45716
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-01,Broad + adv no target,v5,,,ad,526,585,1.11,,,,17.94,,,,17,1.06,30.67,2.91,,,,45717,45717
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-02,Broad + adv no target,v5,,,ad,454,516,1.14,,Website purchases,1,21.24,21.24,,,31,0.69,41.16,6.01,Website purchases conversion value,1.41,1.41,45718,45718
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-03,Broad + adv no target,v5,,,ad,493,565,1.15,,,,21.03,,,,16,1.31,37.22,2.83,,,,45719,45719
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-04,Broad + adv no target,v5,,,ad,490,538,1.1,,Website purchases,1,19.73,19.73,,,25,0.79,36.67,4.65,Website purchases conversion value,0.48,0.48,45720,45720
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-05,Broad + adv no target,v5,,,ad,468,524,1.12,,,,19.38,,,,21,0.92,36.98,4.01,,,,45721,45721
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-06,Broad + adv no target,v5,,,ad,409,462,1.13,,,,19.46,,,,22,0.88,42.12,4.76,,,,45722,45722
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-07,Broad + adv no target,v5,,,ad,430,479,1.11,,,,18.6,,,,18,1.03,38.83,3.76,,,,45723,45723
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-08,Broad + adv no target,v5,,,ad,533,583,1.09,,Website purchases,1,20.04,20.04,,,20,1,34.37,3.43,Website purchases conversion value,0.92,0.92,45724,45724
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-09,Broad + adv no target,v5,,,ad,415,480,1.16,,,,21.19,,,,16,1.32,44.15,3.33,,,,45725,45725
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-10,Broad + adv no target,v5,,,ad,493,528,1.07,,,,19.89,,,,25,0.8,37.67,4.73,,,,45726,45726
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-11,Broad + adv no target,v5,,,ad,502,572,1.14,,,,19.83,,,,25,0.79,34.67,4.37,,,,45727,45727
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-12,Broad + adv no target,v5,,,ad,431,496,1.15,,,,20.67,,,,22,0.94,41.67,4.44,,,,45728,45728
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-13,Broad + adv no target,v5,,,ad,502,550,1.1,,Website purchases,1,23.04,23.04,,,28,0.82,41.89,5.09,Website purchases conversion value,1.04,1.04,45729,45729
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-14,Broad + adv no target,v5,,,ad,926,1005,1.09,,,,39.25,,,,48,0.82,39.05,4.78,,,,45730,45730
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-15,Broad + adv no target,v5,,,ad,786,870,1.11,,,,38.9,,,,28,1.39,44.71,3.22,,,,45731,45731
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-16,Broad + adv no target,v5,,,ad,817,903,1.11,,Website purchases,2,41.24,20.62,,,51,0.81,45.67,5.65,Website purchases conversion value,1.45,1.45,45732,45732
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-17,Broad + adv no target,v5,,,ad,890,969,1.09,,Website purchases,1,44.93,44.93,,,62,0.72,46.37,6.4,Website purchases conversion value,0.21,0.21,45733,45733
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-18,Broad + adv no target,v5,,,ad,778,818,1.05,,Website purchases,1,38.6,38.6,,,39,0.99,47.19,4.77,Website purchases conversion value,0.31,0.31,45734,45734
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-19,Broad + adv no target,v5,,,ad,717,763,1.06,,,,38.63,,,,26,1.49,50.63,3.41,,,,45735,45735
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-20,Broad + adv no target,v5,,,ad,557,605,1.09,,,,30.83,,,,24,1.28,50.96,3.97,,,,45736,45736
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-20,Broad + adv no target,v1,,,ad,518,536,1.03,,,,16.47,,,,15,1.1,30.73,2.8,,,,45736,45736
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-20,Broad + adv no target,New Creatives 2,,,ad,12,13,1.08,,,,0.47,,,,0,0,36.15,0,,,,45736,45736
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-21,Broad + adv no target,v5,,,ad,63,68,1.08,,,,2.91,,,,6,0.49,42.79,8.82,,,,45737,45737
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-21,Broad + adv no target,v1,,,ad,789,821,1.04,,Website purchases,2,24.67,12.34,,,19,1.3,30.05,2.31,Website purchases conversion value,1.13,1.13,45737,45737
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-21,Broad + adv no target,New Creatives 2,,,ad,54,75,1.39,,,,3.04,,,,3,1.01,40.53,4,,,,45737,45737
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-22,Broad + adv no target,v5,,,ad,42,52,1.24,,,,2.67,,,,5,0.53,51.35,9.62,,,,45738,45738
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-22,Broad + adv no target,v1,,,ad,1193,1276,1.07,,Website purchases,1,31.92,31.92,,,43,0.74,25.02,3.37,Website purchases conversion value,0.75,0.75,45738,45738
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-22,Broad + adv no target,New Creatives 2,,,ad,51,56,1.1,,,,1.8,,,,3,0.6,32.14,5.36,,,,45738,45738
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-23,Broad + adv no target,v5,,,ad,61,77,1.26,,,,2.59,,,,1,2.59,33.64,1.3,,,,45739,45739
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-23,Broad + adv no target,v1,,,ad,1238,1330,1.07,,Website purchases,1,34.78,34.78,,,33,1.05,26.15,2.48,Website purchases conversion value,0.86,0.86,45739,45739
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-23,Broad + adv no target,New Creatives 2,,,ad,46,49,1.07,,,,1.76,,,,3,0.59,35.92,6.12,,,,45739,45739
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-24,Broad + adv no target,v5,,,ad,77,83,1.08,,,,4.39,,,,1,4.39,52.89,1.2,,,,45740,45740
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-24,Broad + adv no target,v1,,,ad,1018,1099,1.08,,,,32.25,,,,31,1.04,29.34,2.82,,,,45740,45740
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-24,Broad + adv no target,New Creatives 2,,,ad,53,65,1.23,,,,2.67,,,,0,0,41.08,0,,,,45740,45740
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-25,Broad + adv no target,v5,,,ad,91,95,1.04,,,,3.5,,,,7,0.5,36.84,7.37,,,,45741,45741
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-25,Broad + adv no target,v1,,,ad,1001,1059,1.06,,,,36.78,,,,27,1.36,34.73,2.55,,,,45741,45741
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-25,Broad + adv no target,New Creatives 2,,,ad,23,25,1.09,,,,1.13,,,,0,0,45.2,0,,,,45741,45741
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-26,Broad + adv no target,v5,,,ad,143,163,1.14,,,,7.49,,,,9,0.83,45.95,5.52,,,,45742,45742
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-26,Broad + adv no target,v1,,,ad,906,1014,1.12,,Website purchases,2,33.14,16.57,,,19,1.74,32.68,1.87,Website purchases conversion value,0.92,0.92,45742,45742
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-26,Broad + adv no target,New Creatives 2,,,ad,37,43,1.16,,,,1.06,,,,0,0,24.65,0,,,,45742,45742
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-27,Broad + adv no target,v5,,,ad,110,142,1.29,,,,4.4,,,,4,1.1,30.99,2.82,,,,45743,45743
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-27,Broad + adv no target,v1,,,ad,907,982,1.08,,,,33.07,,,,26,1.27,33.68,2.65,,,,45743,45743
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-27,Broad + adv no target,New Creatives 2,,,ad,29,35,1.21,,,,1.49,,,,5,0.3,42.57,14.29,,,,45743,45743
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-28,Broad + adv no target,v5,,,ad,82,90,1.1,,Website purchases,1,3.99,3.99,,,3,1.33,44.33,3.33,Website purchases conversion value,4.63,4.63,45744,45744
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-28,Broad + adv no target,v1,,,ad,386,402,1.04,,Website purchases,1,13.63,13.63,,,8,1.7,33.91,1.99,Website purchases conversion value,1.76,1.76,45744,45744
BAM | DOOGOOD | BROAD ADV+ | FEB 06 2025,2025-03-28,Broad + adv no target,New Creatives 2,,,ad,9,9,1,,,,0.29,,,,0,0,32.22,0,,,,45744,45744
Rendr CRO - Original,2025-08-13,Broad + adv no target,Max Taylor (music),rendr_original,,ad,923,934,1.01,,,,14.73,,,,11,1.34,15.77,1.18,,,,45882,45882
Rendr CRO - Original,2025-08-13,Broad + adv no target,Dani D'Silvez,rendr_original,,ad,28,28,1,,,,0.5,,,,1,0.5,17.86,3.57,,,,45882,45882
Rendr CRO - Original,2025-08-13,Broad + adv no target,Russel Peace Video 2,rendr_original,,ad,1131,1155,1.02,,,,16.38,,,,20,0.82,14.18,1.73,,,,45882,45882
Rendr CRO - Original,2025-08-13,Broad + adv no target,Russell Peace Video 1,rendr_original,,ad,105,105,1,,,,3.15,,,,6,0.53,30,5.71,,,,45882,45882
Rendr CRO - Original,2025-08-14,Broad + adv no target,Max Taylor (music),rendr_original,,ad,95,101,1.06,,,,6.03,,,,5,1.21,59.7,4.95,,,,45883,45883
Rendr CRO - Original,2025-08-14,Broad + adv no target,Dani D'Silvez,rendr_original,,ad,154,164,1.06,,,,6.05,,,,3,2.02,36.89,1.83,,,,45883,45883
Rendr CRO - Original,2025-08-14,Broad + adv no target,Russel Peace Video 2,rendr_original,,ad,246,258,1.05,,,,10.57,,,,8,1.32,40.97,3.1,,,,45883,45883
Rendr CRO - Original,2025-08-14,Broad + adv no target,Russell Peace Video 1,rendr_original,,ad,264,271,1.03,,,,12.03,,,,11,1.09,44.39,4.06,,,,45883,45883
Rendr CRO - Original,2025-08-15,Broad + adv no target,Max Taylor (music),rendr_original,,ad,20,21,1.05,,,,1.01,,,,1,1.01,48.1,4.76,,,,45884,45884
Rendr CRO - Original,2025-08-15,Broad + adv no target,Dani D'Silvez,rendr_original,,ad,25,26,1.04,,,,1.68,,,,1,1.68,64.62,3.85,,,,45884,45884
Rendr CRO - Original,2025-08-15,Broad + adv no target,Russel Peace Video 2,rendr_original,,ad,108,111,1.03,,,,5.36,,,,6,0.89,48.29,5.41,,,,45884,45884
Rendr CRO - Original,2025-08-15,Broad + adv no target,Russell Peace Video 1,rendr_original,,ad,57,58,1.02,,,,2.24,,,,7,0.32,38.62,12.07,,,,45884,45884
Rendr CRO - Original,2025-08-16,Broad + adv no target,Max Taylor (music),rendr_original,,ad,20,23,1.15,,,,0.99,,,,1,0.99,43.04,4.35,,,,45885,45885
Rendr CRO - Original,2025-08-16,Broad + adv no target,Dani D'Silvez,rendr_original,,ad,3,3,1,,,,0.05,,,,0,0,16.67,0,,,,45885,45885
Rendr CRO - Original,2025-08-16,Broad + adv no target,Russel Peace Video 2,rendr_original,,ad,56,58,1.04,,,,3.22,,,,3,1.07,55.52,5.17,,,,45885,45885
Rendr CRO - Original,2025-08-16,Broad + adv no target,Russell Peace Video 1,rendr_original,,ad,100,107,1.07,,,,5.03,,,,5,1.01,47.01,4.67,,,,45885,45885
Rendr CRO - Original,2025-08-17,Broad + adv no target,Max Taylor (music),rendr_original,,ad,18,18,1,,,,0.94,,,,1,0.94,52.22,5.56,,,,45886,45886
Rendr CRO - Original,2025-08-17,Broad + adv no target,Dani D'Silvez,rendr_original,,ad,3,4,1.33,,,,0.06,,,,0,0,15,0,,,,45886,45886
Rendr CRO - Original,2025-08-17,Broad + adv no target,Russel Peace Video 2,rendr_original,,ad,40,44,1.1,,,,1.9,,,,2,0.95,43.18,4.55,,,,45886,45886
Rendr CRO - Original,2025-08-17,Broad + adv no target,Russell Peace Video 1,rendr_original,,ad,152,159,1.05,,,,7.53,,,,11,0.68,47.36,6.92,,,,45886,45886
Rendr CRO - Original,2025-08-18,Broad + adv no target,Max Taylor (music),rendr_original,,ad,69,86,1.25,,,,2.94,,,,5,0.59,34.19,5.81,,,,45887,45887
Rendr CRO - Original,2025-08-18,Broad + adv no target,Dani D'Silvez,rendr_original,,ad,1,1,1,,,,0.01,,,,0,0,10,0,,,,45887,45887
Rendr CRO - Original,2025-08-18,Broad + adv no target,Russel Peace Video 2,rendr_original,,ad,32,41,1.28,,,,1.14,,,,3,0.38,27.8,7.32,,,,45887,45887
Rendr CRO - Original,2025-08-18,Broad + adv no target,Russell Peace Video 1,rendr_original,,ad,154,165,1.07,,,,7.04,,,,10,0.7,42.67,6.06,,,,45887,45887
Rendr CRO - Original,2025-08-19,Broad + adv no target,Max Taylor (music),rendr_original,,ad,87,97,1.11,,,,4.54,,,,4,1.14,46.8,4.12,,,,45888,45888
Rendr CRO - Original,2025-08-19,Broad + adv no target,Dani D'Silvez,rendr_original,,ad,1,1,1,,,,0.01,,,,0,0,10,0,,,,45888,45888
Rendr CRO - Original,2025-08-19,Broad + adv no target,Russel Peace Video 2,rendr_original,,ad,39,46,1.18,,,,1.47,,,,3,0.49,31.96,6.52,,,,45888,45888
Rendr CRO - Original,2025-08-19,Broad + adv no target,Russell Peace Video 1,rendr_original,,ad,101,108,1.07,,,,3.86,,,,4,0.97,35.74,3.7,,,,45888,45888
Rendr CRO - Original,2025-08-20,Broad + adv no target,Max Taylor (music),rendr_original,,ad,113,141,1.25,,Website purchases,1,7.06,7.06,,,10,0.71,50.07,7.09,Website purchases conversion value,3.4,3.4,45889,45889
Rendr CRO - Original,2025-08-20,Broad + adv no target,Dani D'Silvez,rendr_original,,ad,6,7,1.17,,,,0.51,,,,0,0,72.86,0,,,,45889,45889
Rendr CRO - Original,2025-08-20,Broad + adv no target,Russel Peace Video 2,rendr_original,,ad,15,18,1.2,,,,0.52,,,,0,0,28.89,0,,,,45889,45889
